SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,ORGANIZER,CATEGORIES,DURATION,REPLACES RECURRENT EVENT FROM
"Design and Control of Systems","2020-09-09 01:30 PM","2020-09-09 05:30 PM",,"4EUS3CCS_2020_S7_BE1_SEM_G2BRUNELLO MarcROBINET Antoine(Exporté le:23/03/2023 17:56)","","G-5D003-Electronique & instrumentation associée","","",,,,,
"Methodes et outils numeriques","2020-09-09 01:30 PM","2020-09-09 03:30 PM",,"4EUAMON6_2020_S8_CTD_G1RAMDANE Brahim(Exporté le:23/03/2023 17:56)","","G-4D008","","",,,,,
"Fondamentaux de mathematiques","2020-09-09 01:30 PM","2020-09-09 03:30 PM",,"3EUAFDM8_2020_S5_CTD_G1FAURY Christine(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"RESERVATION POUR INSCRIPTIONS SCOLARITE","2020-09-10 07:30 AM","2020-09-10 09:30 PM",,"(Exporté le:23/03/2023 17:56)","","G-Salle des forums","","",,,,,
"RESERVATION DRE","2020-09-10 08:00 AM","2020-09-10 06:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-1B008-Projet-Vie étudiante","","",,,,,
"RDV et inscriptions étudiants internationaux","2020-09-10 08:00 AM","2020-09-10 06:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-1B016-Projet-Vie étudiante","","",,,,,
"Fondamentaux de mathematiques","2020-09-10 08:00 AM","2020-09-10 10:00 AM",,"3EUAFDM8_2020_S5_CTD_G1FAURY Christine(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"Electronique num. & syst. embarques","2020-09-10 08:00 AM","2020-09-10 10:00 AM",,"4EU7ENS9_2020_S7_CM1_G1BRUNELLO Marc(Exporté le:23/03/2023 17:56)","","G-1A002-Amphi Ampère","","",,,,,
"Controle commande outils maths","2020-09-10 08:15 AM","2020-09-10 10:15 AM",,"4EUACCO6_2020_S7_CTD_G1GEORGES Didier(Exporté le:23/03/2023 17:56)","","G-4D008","","",,,,,
"Automatique 1","2020-09-10 08:15 AM","2020-09-10 10:15 AM",,"4EUS3AUT_2020_S7_CM_G1KHENNOUF Hayate(Exporté le:23/03/2023 17:56)","","G-0B007-Amphi Bergès","","",,,,,
"Hervé COLASUONNO","2020-09-10 09:00 AM","2020-09-10 11:00 AM",,"(Exporté le:23/03/2023 17:56)","","G-2A003","","",,,,,
"REUNION DE RENTREE AST","2020-09-10 09:30 AM","2020-09-10 10:30 AM",,"1A-ETU(Exporté le:23/03/2023 17:56)","","G-1C002-Amphi Coulomb","","",,,,,
"English and Communication","2020-09-10 10:15 AM","2020-09-10 12:15 PM",,"3EMAENG8_2020_S6_TD_G2PICAVET Francis(Exporté le:23/03/2023 17:56)","","G-4D003","","",,,,,
"English and Communication","2020-09-10 10:15 AM","2020-09-10 12:15 PM",,"3EMAENG8_2020_S6_TD_G1GUY Rebecca(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"Controle commande outils maths","2020-09-10 10:30 AM","2020-09-10 12:30 PM",,"4EUACCO6_2020_S7_CTD_G1GEORGES Didier(Exporté le:23/03/2023 17:56)","","G-4D008","","",,,,,
"Soutien de mathematiques","2020-09-10 10:30 AM","2020-09-10 12:30 PM",,"3EM1SMA7_2020_S5_TD_G1FAURY Christine(Exporté le:23/03/2023 17:56)","","G-2B009","","",,,,,
"Automatique 1","2020-09-10 10:30 AM","2020-09-10 12:30 PM",,"4EUS3AUT_2020_S7_CM_G1KHENNOUF Hayate(Exporté le:23/03/2023 17:56)","","G-0B007-Amphi Bergès","","",,,,,
"Soutien de mathematiques","2020-09-10 10:30 AM","2020-09-10 12:30 PM",,"3EM1SMA7_2020_S5_TD_G2CATTELAIN Thibault(Exporté le:23/03/2023 17:56)","","G-2B010","","",,,,,
"TEST D'ANGLAIS","2020-09-10 01:30 PM","2020-09-10 03:30 PM",,"2A-ASI2A-HOE(Exporté le:23/03/2023 17:56)","","G-2A007-info,G-2B001-info,G-2C005-info,G-3A014-info,G-3B001-info,G-3D003-info","","",,,,,
